t,adams_bashforth,euler,heun,pred_corr,runge_kutta4,runge_kutta5
1.879999999999903,7.66053886991358e-14,0.0002341023087970573,5.975560801729785e-08,6.827871601444713e-14,7.083222897108499e-14,6.861178292183467e-14
1.880999999999903,7.66053886991358e-14,0.00023424372537861338,5.978067085798955e-08,6.827871601444713e-14,7.083222897108499e-14,6.861178292183467e-14
1.8819999999999029,7.66053886991358e-14,0.00023438499166350546,5.980569361963006e-08,6.827871601444713e-14,7.083222897108499e-14,6.861178292183467e-14
1.8829999999999028,7.671641100159832e-14,0.00023452610789131967,5.98306766352863e-08,6.838973831690964e-14,7.09432512735475e-14,6.872280522429719e-14
1.8839999999999026,7.682743330406083e-14,0.00023466707430108702,5.985561990495825e-08,6.850076061937216e-14,7.105427357601002e-14,6.88338275267597e-14
1.8849999999999025,7.682743330406083e-14,0.00023480789113106137,5.988052342864592e-08,6.850076061937216e-14,7.105427357601002e-14,6.88338275267597e-14
1.8859999999999024,7.693845560652335e-14,0.00023494855861927455,5.990538742839391e-08,6.861178292183467e-14,7.116529587847253e-14,6.894484982922222e-14
1.8869999999999023,7.704947790898586e-14,0.00023508907700320325,5.993021190420222e-08,6.872280522429719e-14,7.127631818093505e-14,6.894484982922222e-14
1.8879999999999022,7.716050021144838e-14,0.00023522944651976907,5.995499696709317e-08,6.88338275267597e-14,7.138734048339757e-14,6.905587213168474e-14
1.888999999999902,7.72715225139109e-14,0.0002353696674054495,5.997974261706673e-08,6.894484982922222e-14,7.149836278586008e-14,6.916689443414725e-14
1.889999999999902,7.72715225139109e-14,0.00023550973989605595,6.000444896514523e-08,6.894484982922222e-14,7.149836278586008e-14,6.916689443414725e-14
1.8909999999999019,7.738254481637341e-14,0.00023564966422728872,6.002911623337326e-08,6.905587213168474e-14,7.16093850883226e-14,6.927791673660977e-14
1.8919999999999018,7.738254481637341e-14,0.000235789440633849,6.005374431072852e-08,6.905587213168474e-14,7.16093850883226e-14,6.927791673660977e-14
1.8929999999999017,7.749356711883593e-14,0.00023592906935032687,6.007833341925561e-08,6.916689443414725e-14,7.172040739078511e-14,6.938893903907228e-14
